OfficeID,OfficeName,LanguageID,LanguageName,BookmarkName,Translation,OfficeElement
35,Riyadh,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
36,Abu Dhabi,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
38,Munich,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
38,Munich,6,German,PartnerListDescLabel,,PartnerListDescLabel
40,Doha,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
42,Athens,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
42,Athens,16,Greek,PartnerListDescLabel,,PartnerListDescLabel
43,São Paulo,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
43,São Paulo,17,Portuguese (Brazil),PartnerListDescLabel,,PartnerListDescLabel
45,Sydney - Admin,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
45,Sydney - Admin,15,English (AUS),PartnerListDescLabel,,PartnerListDescLabel
46,Perth - Admin,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
46,Perth - Admin,15,English (AUS),PartnerListDescLabel,,PartnerListDescLabel
47,Sydney - Law,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
47,Sydney - Law,15,English (AUS),PartnerListDescLabel,,PartnerListDescLabel
48,Perth - Law,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
48,Perth - Law,15,English (AUS),PartnerListDescLabel,,PartnerListDescLabel
49,Mannheim,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
49,Mannheim,6,German,PartnerListDescLabel,,PartnerListDescLabel
50,Jakarta,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
50,Jakarta,14,English (US),PartnerListDescLabel,,PartnerListDescLabel
54,A&O Holdings,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
57,Belfast - Law,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
58,Belfast - Admin,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
59,"Washington, D.C.",14,English (US),PartnerListDescLabel,,PartnerListDescLabel
61,Casablanca,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
61,Casablanca,2,French,PartnerListDescLabel,,PartnerListDescLabel
64,Singapore - AOA,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
65,Singapore,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
66,Istanbul - Admin,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
67,Istanbul - Law,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
68,Ho Chi Minh City,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
68,Ho Chi Minh City,19,Vietnamese,PartnerListDescLabel,,PartnerListDescLabel
69,Hanoi,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
69,Hanoi,19,Vietnamese,PartnerListDescLabel, ,PartnerListDescLabel
