OfficeElement
Address
Logo
AltLogo
OfficeTitle
OfficeTitle2
OfficeInfo
Tel
Fax
Disclaimer
Location
PartnerList
PartnerListLabel
PartnerListDescLabel
OfficesList
FaxDisclaimer
LegacyOfficeID
FaxAlt
TelAlt
LetterCorrespondenceType
FaxHeaderType
MarketingDisclaimer
